job_id,title,company,location,description,skills_required,experience_years,salary_range,category
1,Python Developer,TechCorp,Bangalore,"Develop scalable Python applications, REST APIs, and microservices. Work with cloud platforms.","Python,Django,REST API,AWS,Docker",2,6-10 LPA,Software Development
2,Data Scientist,DataMinds,Hyderabad,"Analyze large datasets, build ML models, create visualizations, and generate business insights.","Python,Machine Learning,TensorFlow,SQL,Tableau",3,8-14 LPA,Data Science
3,Frontend Developer,WebWorks,Chennai,"Build responsive UIs using React.js and modern JavaScript. Collaborate with designers.","React,JavaScript,HTML,CSS,Git",1,4-8 LPA,Web Development
4,Machine Learning Engineer,AIFirst,Pune,"Design and deploy ML pipelines, optimize models, and work with NLP systems.","Python,PyTorch,NLP,Scikit-learn,Kubernetes",4,12-18 LPA,AI/ML
5,Backend Developer,ServerSide,Mumbai,"Build high-performance Java Spring Boot APIs, work with microservices architecture.","Java,Spring Boot,Microservices,MySQL,Docker",3,8-14 LPA,Software Development
6,DevOps Engineer,CloudNet,Bengaluru,"Automate CI/CD pipelines, manage cloud infrastructure, ensure system reliability.","AWS,Jenkins,Kubernetes,Terraform,Linux",3,10-16 LPA,DevOps
7,NLP Engineer,LangAI,Remote,"Build NLP pipelines for text classification, NER, summarization and chatbots.","Python,spaCy,BERT,Transformers,FastAPI",3,10-16 LPA,AI/ML
8,Data Analyst,InsightCo,Delhi,"Create dashboards, run SQL queries, and analyze KPIs for business teams.","SQL,Excel,Python,Power BI,Statistics",1,4-7 LPA,Data Analytics
9,Full Stack Developer,StackBridge,Hyderabad,"Develop end-to-end web apps using MERN stack, REST APIs and cloud deployment.","MongoDB,Express,React,Node.js,AWS",2,6-10 LPA,Web Development
10,Cloud Architect,CloudPeak,Bangalore,"Design and implement scalable cloud solutions on AWS/Azure for enterprise clients.","AWS,Azure,Terraform,Kubernetes,Security",6,18-25 LPA,Cloud
11,Computer Vision Engineer,VisionAI,Pune,"Develop real-time image processing and object detection models using deep learning.","Python,OpenCV,PyTorch,YOLO,CUDA",4,12-18 LPA,AI/ML
12,Software Engineer,BuildIt,Chennai,"Develop and maintain enterprise software, write clean code, participate in agile ceremonies.","Java,Python,Git,Agile,SQL",2,5-9 LPA,Software Development
13,Business Intelligence Developer,BIHub,Mumbai,"Build OLAP cubes, design data warehouses, and create enterprise BI reports.","SQL,SSAS,Power BI,ETL,Data Warehousing",3,8-13 LPA,Data Analytics
14,React Native Developer,MobileFirst,Noida,"Build cross-platform mobile apps with React Native and integrate with RESTful APIs.","React Native,JavaScript,Redux,iOS,Android",2,6-10 LPA,Mobile Development
15,AI Research Scientist,DeepMind India,Bangalore,"Conduct cutting-edge research in deep learning, publish papers, prototype new models.","Python,PyTorch,Research,Mathematics,Statistics",5,15-25 LPA,AI/ML
16,LLM Prompt Engineer,OpenAI Proxy,San Francisco,"Design, refine, and optimize prompts for large language models to maximize reasoning quality.","Python,Prompt Engineering,LLMs,NLP,GPT-4",2,12-20 LPA,AI/ML
17,MLOps Engineer,ScaleAI,Remote,"Deploy and monitor massive machine learning clusters, build pipelines for training and serving.","AWS,Docker,Kubernetes,MLflow,Python",4,14-22 LPA,AI/ML
18,Data Engineer,Databricks,Bangalore,"Build robust data ingestion pipelines capable of handling petabytes of unstructured text and logs.","Apache Spark,Python,SQL,Kafka,AWS",3,10-18 LPA,Data Engineering
19,VP of Engineering,Stealth Startup,Bangalore,"Lead rapid prototyping of AI products. Drive technical architecture, hire elite engineers.","Leadership,System Design,Microservices,Agile,Python",8,35-50 LPA,Leadership
20,Frontend Architect,Vercel,Remote,"Design ultra-fast UI rendering layers, pioneer modern Next.js methodologies and state management.","Next.js,React,TypeScript,Tailwind,System Design",6,18-30 LPA,Web Development
21,AI Product Manager,Notion,Hyderabad,"Bridge the gap between AI capabilities and user pain points. Formulate roadmap and define MVP logic.","Product Management,Agile,Jira,Analytics,AI",4,15-24 LPA,Product Management
22,Developer Advocate (DevRel),Supabase,Remote,"Build compelling dev tools content, speak at top-tier software conferences, foster a rabid community.","Developer Relations,Technical Writing,Public Speaking,JavaScript,Python",3,12-18 LPA,DevRel
23,10x Full Stack Hacker,YC W24 AI Startup,San Francisco,"Ship features incredibly fast. You should be able to design, code, and deploy an entire product surface daily.","React,Node.js,Python,PostgreSQL,Tailwind",2,10-16 LPA,Web Development
24,Information Security Researcher,CrowdStrike,Pune,"Perform red-team offensive cyber attacks, unearth Zero Day exploits, analyze memory dumps.","Cybersecurity,C++,Python,Reverse Engineering,Linux",5,16-28 LPA,Security
25,Blockchain Smart Contract Dev,Web3 Labs,Remote,"Write highly gas-optimized and audited smart contracts using Solidity. Launch decentralized applications.","Solidity,Ethereum,Web3.js,Cryptography,Node.js",3,14-25 LPA,Blockchain
